listing_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,comment_score
3781,0.9976713542204424,1.6303309889789803,-0.5573231167891899,-0.4244894690894157,-0.4173343410702989,-0.5784100333274638,162.0,0.2504947616690726,1.499775739393855,0.3036925732351817,-0.2141456831060365,-0.0371483649206615,-0.0498711902851944,0.2087938220288954,-0.0480692087283358,1.4690158165641438,0.0359189518715416,-0.6098042618390217,-0.1666694842995777,-0.2823455929796695,-0.5509708308028823,-0.4171574169780084,-0.5504055065129474,-0.3588134970798907,-0.3027057489326701,0.6764686405812854,0.746515006718745,0.6271914706733857,0.4992865338616453,0.4050736636210588,0.3142230078035832,0.72970363728616,-0.9355213716531654,0.3936798363778002
5506,-0.2759071039935175,-0.4440045843182501,-0.5573231167891899,-0.4244894690894157,-0.4173343410702989,-0.5784100333274638,111.0,-0.6409746705490902,-1.10979976208235,-0.6367033367019072,-0.4774917793554433,-0.0371483649206615,-0.0498711902851944,-0.6815857149556522,-0.0480692087283358,-0.3559641860657648,-0.0607982258850147,-0.4073023109724233,-0.2476065859953694,0.7321701116891066,-0.1755175015771869,-0.4171574169780084,-0.1749455155175627,-0.3391123775499509,-0.4077319516665537,0.2084218530857862,0.3329934282387952,0.4693977056521415,0.3344764135943956,0.1517150044173911,-0.6854247197637342,0.4040262968435276,-0.6752172381987473,0.3909216357187236
6695,-0.290894578144475,-0.3829391668340853,0.2610618810223047,-0.4244894690894157,-1.2877608247172077,0.0613866092095021,207.0,-0.6409746705490902,0.5038507895551099,-0.6367033367019072,-0.4774917793554433,-0.0371533223403837,-0.0498748873697634,-0.6815857149556522,-0.048073646795704,-0.6297111864602511,-0.4960255257895185,-0.6773049121278878,-1.263816862842532,0.7608828203118079,-0.2589515747384525,-0.4171574169780084,-0.2583810690720926,-0.4573190947295897,-0.28197689312993,0.2084218530857862,0.1606927705388168,0.3116039406308973,0.2026283173805953,0.3688795694491072,-0.7888365536500062,0.2954671833626501,-0.6582408816691113,0.3791415454588133
10811,0.55518402214279,-0.1619704911961368,-0.1481306178834426,-0.4244894690894157,-1.2877608247172077,-0.5784100333274638,146.0,2.3763064846508453,1.499775739393855,2.5461751277005478,0.4661650655382645,-0.0371483649206615,-0.0498711902851944,2.332006564068971,-0.0480692087283358,0.0090318144602169,0.6645806072891581,0.8414597193715999,1.200268233229349,-0.445050941841643,-0.5926878673835151,-0.4171574169780084,-0.5921232832902124,-0.930145963448145,-0.6633878399003493,-1.2893278668998058,-1.1832523595210185,-0.2880123664498336,-0.9510425244901582,-3.0695593768863687,0.8312821772349555,0.1597682915115539,-1.0147443687914663,0.38599702380952383
10813,0.5152174244067341,-0.1940770509041307,-0.5573231167891899,-0.4244894690894157,-1.2877608247172077,-0.5784100333274638,136.0,0.3533566192327067,1.499775739393855,0.3398616466943004,-0.1812274210748606,-0.0371483649206615,-0.0498711902851944,0.3046808490887698,-0.0480692087283358,0.0090318144602169,0.0359189518715416,-0.6098042618390217,0.6606875552574042,-0.483334553338578,-0.5926878673835151,-0.4171574169780084,-0.5921232832902124,-0.930145963448145,-0.6633878399003493,0.8012811172467517,0.746515006718745,0.1222514226054021,0.4992865338616453,0.5498500403088684,0.8312821772349555,0.5125854103244051,-1.0204031543013452,0.4724139409972743
10986,0.9848249478052634,0.933115011004373,-0.5573231167891899,-0.4244894690894157,-1.2877608247172077,-0.5784100333274638,87.0,0.3533566192327067,1.499775739393855,0.4121997936125381,-0.1812274210748606,-0.0371483649206615,-0.0498711902851944,0.3115299224501893,-0.0480692087283358,0.1002808145917123,0.7129391961674363,0.875210044516033,1.2092612445288813,-0.5216181648355129,-0.5926878673835151,-0.4171574169780084,-0.5504055065129474,-0.930145963448145,-0.6633878399003493,-2.319030799389901,0.746515006718745,-5.558324118159406,-9.38932068217337,0.5498500403088684,0.8312821772349555,-1.658596859293142,-1.0204031543013452,0.16666666666666666
18711,-0.5014329055041544,0.6529695390417113,1.0794468788337994,-0.4244894690894157,1.3235186262235186,0.701183251746468,161.0,0.2847820475236173,-0.4290409356102965,0.3398616466943004,-0.2031729290956445,-0.0371483649206615,-0.0498711902851944,0.2430391888359933,-0.0480692087283358,-1.1772051872492235,-1.414838714476804,-1.6223140161720135,-0.8771173769626384,-0.0335021182495923,-0.5926878673835151,-0.4171574169780084,-0.5921232832902124,-0.930145963448145,-0.6633878399003493,-1.3517341052325405,-0.9764915702810448,-0.1617773544328378,-0.9510425244901582,-1.4046310449765598,-1.7884842812173236,-0.3558874975226123,-0.8959098730840147,0.33036685330869714
40601,-0.8101035040904443,-0.9164746443364532,-0.5573231167891899,0.4261311410693195,-0.4173343410702989,-0.5784100333274638,90.0,-0.2638145261490982,-1.0341598924743438,-0.2388435286516003,-0.3787369932619158,-0.0371609781024863,-0.0498805967915027,-0.3048866800775743,-0.0480805005199941,-0.9034581868547376,0.1809947185063762,-0.2048003601058249,-0.0227813035070591,0.4450430254620945,-0.4258197210609838,-0.4171574169780084,-0.4252521761811525,0.1731167302284839,-0.2764491982491993,0.7388748789140199,0.5742143490187667,0.7534264826903815,0.4004004617012943,0.3326854752771556,0.5899878981669813,0.8654025291372562,-0.731805093297534,0.3904761693247326
47521,-1.336806167112019,0.697666906478339,-0.5573231167891899,0.4261311410693195,1.3235186262235186,0.701183251746468,110.0,0.2504947616690726,-0.4164342906756288,0.3036925732351817,-0.2141456831060365,-0.0371579032472156,-0.0498783036630992,0.2087938220288954,-0.0480777477946645,1.5602648166956394,1.2448836738284963,1.2464636211047966,1.308184368823738,2.6654924922843213,-0.5509708308028823,-0.4171574169780084,-0.5504055065129474,-0.3588134970798907,-0.4184802472679746,-0.9148904369034072,-0.8731111756610564,-1.0138636855475578,-0.4236501396349569,-0.4997786906777505,-1.7195430586264755,-0.274468162411956,0.0094958084965696,0.36982901281209435
60029,-0.3822468015412465,-0.2277574615782597,-0.9665156156949372,-0.4244894690894157,-0.4173343410702989,-0.5784100333274638,80.0,0.2504947616690726,-1.2636008302852952,0.3036925732351817,-0.2141456831060365,-0.0371621201915869,-0.0498814485249097,0.2087938220288954,-0.0480815229608309,1.4690158165641438,1.4383180293416091,1.3814649216825288,0.4898203405662883,0.8565918490541452,-0.5926878673835151,-0.4171574169780084,-0.5504055065129474,-0.930145963448145,-0.6633878399003493,-0.0412031002451434,-0.4595895971811065,-0.6035998964923219,0.0707802211667949,0.2241031927612976,-2.064249171580722,0.0512091780306764,-0.5846766700406888,0.3987997138168288
